## Combination-1 (သင်ရိုးသရ)

က ကာ ကိ ကီး ကု ကူး ကေး ကဲ့ ကော့ ကော် ကံ့ ကား။

ခ ခါ ခိ ခီး ခု ခူး ခေး ခဲ့ ခေါ့ ခေါ် ခံ့ ခါး။

ဂ ဂါ ဂိ ဂီး ဂု ဂူး ဂေး ဂဲ့ ဂေါ့ ဂေါ် ဂံ့ ဂါး။

ဃ ဃာ ဃိ ဃီး ဃု ဃူး ဃေး ဃဲ့ ဃော့ ဃော် ဃံ့ ဃား။

င ငါ ငိ ငီး ငု ငူး ငေး ငဲ့ ငေါ့ ငေါ် ငံ့ ငါး။

စ စာ စိ စီး စု စူး စေး စဲ့ စော့ စော် စံ့ စား။

ဆ ဆာ ဆိ ဆီး ဆု ဆူး ဆေး ဆဲ့ ဆော့ ဆော် ဆံ့ ဆား။

ဇ ဇာ ဇိ ဇီး ဇု ဇူး ဇေး ဇဲ့ ဇော့ ဇော် ဇံ့ ဇား။

ဈ ဈာ ဈိ ဈီး ဈု ဈူး ဈေး ဈဲ့ ဈော့ ဈော် ဈံ့ ဈား။

ည ညာ ညိ ညီး ညု ညူး ညေး ညဲ့ ညော့ ညော် ညံ့ ညား။

ဋ ဋာ ဋိ ဋီး ဋု ဋူး ဋေး ဋဲ့ ဋော့ ဋော် ဋံ့ ဋား။

ဌ ဌာ ဌိ ဌီး ဌု ဌူး ဌေး ဌဲ့ ဌော့ ဌော် ဌံ့ ငှား။

ဍ ဍာ ဍိ ဍီး ဍု ဍူး ဍေး ဍဲ့ ဍော့ ဍော် ဍံ့ ဍား။

ဎ ဎာ ဎိ ဎီး ဎု ဎူး ဎေး ဎဲ့ ဎော့ ဎော် ဎံ့ ဎား။

ဏ ဏာ ဏိ ဏီး ဏု ဏူး ဏေး ဏဲ့ ဏော့ ဏော် ဏံ့ ဏား။

တ တာ တိ တီး တု တူး တေး တဲ့ တော့ တော် တံ့ တား။

ထ ထာ ထိ ထီး ထု ထူး ထေး ထဲ့ ထော့ ထော် ထံ့ ထား။

ဒ ဒါ ဒိ ဒီး ဒု ဒူး ဒေး ဒဲ့ ဒေါ့ ဒေါ် ဒံ့ ဒါး။

ဓ ဓာ ဓိ ဓီး ဓု ဓူး ဓေး ဓဲ့ ဓော့ ဓော် ဓံ့ ဓား။

န နာ နိ နီး နု နူး နေး နဲ့ နော့ နော် နံ့ နား။

ပ ပါ ပိ ပီး ပု ပူး ပေး ပဲ့ ပေါ့ ပေါ် ပံ့ ပါး။

ဖ ဖာ ဖိ ဖီး ဖု ဖူး ဖေး ဖဲ့ ဖော့ ဖော် ဖံ့ ဖား။

ဗ ဗာ ဗိ ဗီး ဗု ဗူး ဗေး ဗဲ့ ဗော့ ဗော် ဗံ့ ဗား။

ဘ ဘာ ဘိ ဘီး ဘု ဘူး ဘေး ဘဲ့ ဘော့ ဘော် ဘံ့ ဘား။

မ မာ မိ မီး မု မူး မေး မဲ့ မော့ မော် မံ့ မား။

ယ ယာ ယိ ယီး ယု ယူး ယေး ယဲ့ ယော့ ယော် ယံ့ ယား။

ရ ရာ ရိ ရီး ရု ရူး ရေး ရဲ့ ရော့ ရော် ရံ့ ရား။

လ လာ လိ လီး လု လူး လေး လဲ့ လော့ လော် လံ့ လား။

ဝ ဝါ ဝိ ဝီး ဝု ဝူး ဝေး ဝဲ့ ဝေါ့ ဝေါ် ဝံ့ ဝါး။

သ သာ သိ သီး သု သူး သေး သဲ့ သော့ သော် သံ့ သား။

ဟ ဟာ ဟိ ဟီး ဟု ဟူး ဟေး ဟဲ့ ဟော့ ဟော် ဟံ့ ဟား။

ဠ ဠာ ဠိ ဠီး ဠု ဠူး ဠေး ဠဲ့ ဠော့ ဠော် ဠံ့ ဠား။

အ အာ အိ အီး အု အူး အေး အဲ့ အော့ အော် အံ့ အား။

## Combination-2 (ယပင်း-သရ)

ကျ ကျာ ကျိ ကျီး ကျု ကျူး ကျေး ကျဲ့ ကျော့ ကျော် ကျံ့ ကျား။

ချ ချာ ချိ ချီး ချု ချူး ချေး ချဲ့ ချော့ ချော် ချံ့ ချား။

ဂျ ဂျာ ဂျိ ဂျီး ဂျု ဂျူး ဂျေး ဂျဲ့ ဂျော့ ဂျော် ဂျံ့ ဂျား။

ပျ ပျာ ပျိ ပျီး ပျု ပျူး ပျေး ပျဲ့ ပျော့ ပျော် ပျံ့ ပျား။

ဖျ ဖျာ ဖျိ ဖျီး ဖျု ဖျူး ဖျေး ဖျဲ့ ဖျော့ ဖျော် ဖျံ့ ဖျား။

ဗျ ဗျာ ဗျိ ဗျီး ဗျု ဗျူး ဗျေး ဗျဲ့ ဗျော့ ဗျော် ဗျံ့ ဗျား။

ဘျ ဘျာ ဘျိ ဘျီး ဘျု ဘျူး ဘျေး ဘျဲ့ ဘျော့ ဘျော် ဘျံ့ ဘျား။

မျ မျာ မျိ မျီး မျု မျူး မျေး မျံ့ မျော့ မျော် မျံ့ များ။

လျ လျာ လျိ လျီး လျု လျူး လျေး လျဲ့ လျော့ လျော် လျံ့ လျား။

## Combination-3 (ရရစ်-သရ)

ကြ ကြာ ကြိ ကြီး ကြု ကြူး ကြေး ကြဲ့ ကြော့ ကြော် ကြံ့ ကြား။

ခြ ခြာ ခြိ ခြီး ခြု ခြူး ခြေး ခြဲ့ ခြော့ ခြော် ခြံ့ ခြား။

